epoch,accuracy,loss,val_accuracy,val_loss
0,0.6097999811172485,0.7278952598571777,0.7901999950408936,0.4606928527355194
1,0.7644000053405762,0.503607451915741,0.8393999934196472,0.3758120834827423
2,0.8180400133132935,0.4159507751464844,0.8532800078392029,0.34143367409706116
3,0.848039984703064,0.3568953573703766,0.8700799942016602,0.31136149168014526
4,0.8721200227737427,0.3152889609336853,0.8763599991798401,0.3051181435585022
5,0.8834800124168396,0.29055488109588623,0.873960018157959,0.3088052272796631
6,0.8952000141143799,0.2631489932537079,0.876039981842041,0.2986993193626404
7,0.9039999842643738,0.2476283609867096,0.8787599802017212,0.29606398940086365
8,0.912880003452301,0.22669829428195953,0.8798800110816956,0.30666372179985046
9,0.9186000227928162,0.21203190088272095,0.8790000081062317,0.3040297329425812
10,0.9255200028419495,0.1986648440361023,0.8763599991798401,0.32140424847602844
11,0.9306399822235107,0.18418408930301666,0.8743199706077576,0.32855933904647827
12,0.9369199872016907,0.1707613617181778,0.8736799955368042,0.3550117313861847
